"conference_acronym","conference_name","conference_location"
"ESWC 2019","The 16th Extended Semantic Web Conference","Portoro<U+017E>, Slovenia"
"PIS@WorldCist 2019","Pervasive Information Systems","La Toja Island, Galicia, Spain"
"AMLD 2019","Applied Machine Learning Days","EPFL, Lausanne, Switzerland"
"IJGCA 2018","International Journal of Grid Computing & Applications","N/A"
"MLAIJ 2018","Machine Learning and Applications: An International Journal ","N/A"
"ICAMD--EI and Scopus 2019","2019 The 2nd International Conference on Automation, Mechanical and Design Engineering (ICAMD 2019)--EI Compendex and Scopus","Chengdu, China"
"CSEIJ 2018","Computer Science & Engineering: An International Journal","N/A"
"ICMAA--EI, Scopus 2019","2019 3rd International Conference on Mechanical, Aeronautical and Automotive Engineering (ICMAA 2019)--EI Compendex, Scopus","Chengdu, China"
"ICDIS 2019","The 2nd International Conference on Data Intelligence and Security","South Padre Island, Texas, USA"
"ICMRE--ACM, Ei Compendex and Scopus 2019","ACM--2019 5th International Conference on Mechatronics and Robotics Engineering (ICMRE 2019)--Ei Compendex and Scopus ","Rome, Italy"
"ICCGV--EI, Scopus 2019","2019 International Conference on Computer Graphics and Virtuality (ICCGV 2019)--Ei Compendex and Scopus","Jeju Island, Korea"
"WAIAF 2019","WAIAF 2019 - Workshop of Artificial Intelligence Applied to Finance","ITA, Sao Jose dos Campos, SP, Brazil"
"IJMA 2018","International Journal of Multimedia & Its Applications -- ERA Indexed","N/A"
"IJCSA 2018","International Journal on Computational Science & Applications","N/A"
"ICCTD--EI, Scopus 2019","2019 10th International Conference on Computer Technologies and Development (ICCTD 2019)--EI Compendex, Scopus","Prague, Czech Republic"
"ISMSI--Ei, Scopus 2019","2019 3rd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2019)--Ei Compendex, Scopus","Male, Maldives"
"ACM--ICMVA--Ei, Scopus 2019","ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus","Tokyo,  Japan"
"SIMCA 2019","IFAC MIM'2019 SIMCA Open Invited Track","Berlin, Germany"
"ICMVA--ACM, Ei, Scopus 2019","ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus","Tokyo,  Japan"
"IEEE--ICBCB--Ei and Scopus 2019","2019 IEEE 7th International Conference on Bioinformatics and Computational Biology (ICBCB 2019)--Ei Compendex and Scopus","Zhejiang University, Hangzhou, China"
"IJWesT 2018","International Journal of Web & Semantic Technology","N/A"
"CSIP 2019","6th International Conference on Signal Processing","Copenhagen, Denmark"
"IJICS 2018","International Journal of Instrumentation and Control Systems ","N/A"
"[Book chapters] AI&Big Data 2018","Artificial Intelligence and Big Data¡¯s Potential for Disruptive Innovation ","N/A"
"IJCAx 2018","International Journal of Computer-Aided technologies ","N/A"
"AI & FL 2019","7th International Conference of Artificial Intelligence and Fuzzy Logic","Copenhagen, Denmark"
"IJPLA 2018","International Journal of Programming Languages and Applications","N/A"
"IJCSITCE 2018","The International Journal of Computational Science, Information Technology and Control Engineering ","N/A"
"ACM--ICVARS--Ei and Scopus 2019","ACM--2019 the 3rd International Conference on Virtual and Augmented Reality Simulations (ICVARS 2019)--Ei Compendex and Scopus","Perth, Australia"
"ICDPA--ACM, Scopus, Ei 2019","ACM--2019 The 5th International Conference on Data Processing and Applications (ICDPA 2019)--Scopus, Ei Compendex","Shanghai, China"
"ACM--ICISS--Ei, Scopus 2019","ACM--2019 2nd International Conference on Information Science and System (ICISS 2019)--Ei Compendex, Scopus","Tokyo, Japan"
"ICIIT--ACM, Ei and Scopus 2019","ACM--2019 4th International Conference on Intelligent Information Technology (ICIIT 2019)--Ei Compendex and Scopus","Da Nang, Vietnam"
"COINS 2019"," COINS 2019 Conference: Internet of Things | Artificial Intelligence & ML | Big Data | Blockchain | Edge & Cloud Computing | Security | Embedded Systems | EDA | VLSI","Crete, Greece"
"ICFCC--EI and Scopus 2019","2019 The 11th International Conference on Future Computer and Communication (ICFCC 2019)--EI Compendex and Scopus","Rangoon, Burma"
"ICSRT--Ei and Scopus 2019","2019 International Conference on Service Robotics Technologies (ICSRT 2019)--Ei Compendex and Scopus","Beijing, China"
"ICRIS--Ei and Scopus 2019","2019 The 2nd International Conference on Robotics and Intelligent System (ICRIS 2019)--Ei Compendex and Scopus","Warsaw, Poland"
"IEEE--ICCAR--Ei & SCOPUS 2019","2019 The 5th IEEE International Conference on Control, Automation and Robotics (ICCAR 2019)--Ei Compendex & SCOPUS","Beijing, China"
"ICMSCE--Ei and Scopus 2019","2019 3rd International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2019)--Ei Compendex and Scopus","Nice, France"
"ACM IUI 2019","ACM Conference on Intelligent User Interfaces (Call for Posters and Demos)","Los Angeles, USA"
"P2PANS 2019","International Workshop on Peer-to-Peer Architectures, Networks, and Systems","Leuven, Belgium"
"ICUIA 2019","International Conference on Urban Intelligence and Applications","Wuhan, China"
"RVSS 2019","Robotic Vision Summer School","Kioloa, Australia"
"WSDM  2019","International Workshop on Web Search and Data Mining ","Leuven, Belgium"
"JSSA 2019","JSSA'19 : 3rd edition of the International Conference Scientific Days in Applied Sciences","Larache, Morocco"
"ICMLC--ACM, Ei and Scopus 2019","2019 11th International Conference on Machine Learning and Computing (ICMLC 2019)--ACM, Ei Compendex and Scopus","Zhuhai, China"
"ICCCS--Ei and Scopus 2019","2019 4th International Conference on Computer and Communication Systems (ICCCS 2019)--Ei Compendex and Scopus","Singapore"
"EI/SCOPUS-PRA 2019","2019 Workshop on Pattern Recognition Applications (PRA 2019)","Shanghai, China"
"ICICT--IEEE, Ei & Scopus 2019","IEEE--2019 the 2nd International Conference on Information and Computer Technologies (ICICT 2019)--Ei & Scopus","University of Hawaii Maui College, USA"
"ICVR--ACM, Ei, Scopus 2019","ACM--2019 5th International Conference on Virtual Reality (ICVR 2019)--Ei Compendex, Scopus","Singapore"
"INAIT 2019","International Conference on Industry 4.0 and Artificial Intelligence Technologies","Hughes Hall, University of Cambridge, Un"
"EIS 2019","Europe IT Summit 2019: AI, VR and AR challenges and opportunities ","Bockau"
"ACM--ICMSR--Ei and Scopus 2019","ACM--2019 5th International Conference on Mechatronic Systems and Robots (ICMSR 2019)--Ei Compendex and Scopus","Singapore"
"FAIML 2019","2019 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2019)","Rome,Italy"
"2W2T-EI/Scopus/CPCI 2019","2019 International Conference on Advances in Water and Wastewater Treatment Technologies (2W2T 2019)","Shenzhen, China"
"§ª§Õ§Ö§ß§ä§Ú§æ§Ú§Ü§Ñ§è§Ú§ñ 2019","§³§Ö§Ü§è§Ú§ñ <U+00AB>§ª§¥§¦§¯§´§ª§¶§ª§¬§¡§¸§ª§Á §³§ª§³§´§¦§®<U+00BB> §Ó §â§Ñ§Þ§Ü§Ñ§ç XIII §£§ã§Ö§â§à§ã§ã§Ú§Û§ã§Ü§à§Ô§à §ã§à§Ó§Ö§ë§Ñ§ß§Ú§ñ §á§à §á§â§à§Ò§Ý§Ö§Þ§Ñ§Þ §å§á§â§Ñ§Ó§Ý§Ö§ß§Ú§ñ","§®§à§ã§Ü§Ó§Ñ, §²§à§ã§ã§Ú§ñ"
"Ei/Scopus-CSMO 2019","2019 3rd International Conference on Simulation, Modeling and Optimization (CSMO 2019)","Beijing, China"
"IEEE TNNLS SI 2019","IEEE TNNLS. Special Issue on Connectionist Methods for Finance and Blockchain","N/A"
"EI CMSME 2019","2019 2nd International Joint Conference on Materials Science and Mechanical Engineering(CMSME 2019)","Phuket, Thailand"
"ACM--ICISDM--Ei and Scopus 2019","ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus","University of Houston, Texas, USA"
"ACM--ICCAI--Ei Compendex, Scopus 2019","ACM--2019 5th International Conference on Computing and Artificial Intelligence (ICCAI 2019)--Ei Compendex, Scopus","Bali, Indonesia"
"ICCAE--Ei Compendex and Scopus 2019","2019 11th International Conference on Computer and Automation Engineering (ICCAE 2019)--Ei Compendex and Scopus","Perth, Australia"
"DMOO 2019","IEEE CEC 2019: Special Session on ¡°Dynamic Multi-objective Optimization and its Applications¡±","WELLINGTON, NEW ZEALAND"
"CRV 2019","Computer and Robot Vision ","Kingston, ON"
"ICRIT--JA, Scopus 2019","2019 2nd International Conference on Robotics and Intelligent Technology (ICRIT 2019)--JA, Scopus","Kyoto, Japan"
"IEEE--ICAIBD--Ei and Scopus 2019","IEEE--2019 The 2nd International Conference on Artificial Intelligence and Big Data (ICAIBD 2019)--Ei Compendex, Scopus","Chengdu, China"
"ICVRT--Ei and Scopus 2019","2019 2nd International Conference on Virtual Reality Technology (ICVRT 2019)--EI Compendex, Scopus","Wuhan, China"
"NCCC 2019","National Conference on Cognitive Computing","Presidency University, Bengaluru"
"ICMAI--EI and Scopus 2019","2019 4th International Conference on Mathematics and Artificial Intelligence (ICMAI 2019)--EI Compendex and Scopus","Chengdu, China"
"ICCR--EI and Scopus 2019","2019 2nd International Conference on Control and Robots (ICCR 2019)--Ei Compendex and Scopus","Jeju Island, Korea"
"ICECC--EI Compendex and Scopus 2019","2019 2nd International Conference on Electronics, Communications and Control Engineering (ICECC 2019)--EI Compendex and Scopus","Phuket, Thailand"
"ARISE 2019","Activity Recognition in Smart Environments (ARISE)","Leuven, Belgium"
"CORES 2019","11th International Conference on Computer Recognition Systems CORES 2019","Polanica Zdroj, Poland"
"CORES 2019","11th International Conference on Computer Recognition Systems CORES 2019","Polanica Zdroj, Poland"
"FiCloud Workshops 2019","Call for Workshops in The 7th International Conference on Future Internet of Things and Cloud"," Istanbul, Turkey"
"LION 2019","Learning and Intelligent Optimization","Chania, Greece"
"LIJTE 2019","The Liminal: Interdisciplinary Journal of Technology in Education","N/A"
"COINS-DOCTORAL 2019","DOCTORAL SYMPOSIUM & Work in Progress (WiP) | Internet of Things | IoT | Big Data | Artficial Intelligence | Machine Learning | Cloud Computing | Blockchain | EDA  ","Crete, Greece"
"IWCS 2019","13th International Conference on Computational Semantics (IWCS)","University of Gothenburg"
"AI 2019","Artificial Intelligence","Kingston, ON"
"EMC2 2019","Workshop On Energy Efficient Machine Learning And Cognitive Computing For Embedded Applications","Washington D.C., USA"
"WCSE--Ei Compendex and Scopus 2019","2019 the 9th International Workshop on Computer Science and Engineering (WCSE 2019)--Ei Compendex and Scopus","Hong Kong"
"WSOM+ 2019","13th International Workshop on Self-Organizing Maps and Learning Vector Quantization, Clustering and Data Visualization","Barcelona, Spain"
"ITS 2019","Intelligent Tutoring Systems","Jamaica"
"COMPSAC  2019","COMPSAC 2019: Data Driven Intelligence for a Smarter World","Milwaukee, Wisconsin, USA"
"ICML 2019","36th International Conference on Machine Learning","Long Beach, CA, USA"
"iDSC 2019","2nd International Data Science Conference","Salzburg / Austria"
"KGSWC 2019","1st Iberoamerican Knowledge Graph and Semantic Web Conference","Villa Clara, Cuba"
"ICRAS--Ei and Scopus 2019","2019 3rd International Conference on Robotics and Automation Sciences (ICRAS 2019)--Ei Compendex and Scopus","Wuhan, China"
"ICITS--EI, SCOPUS 2019","2019 The 7th International Conference on Information Technology and Science (ICITS 2019)--EI Compendex, SCOPUS","Hong Kong"
"ICCCV--Ei Compendex and Scopus 2019","2019 The 2nd International Conference on Control and Computer Vision (ICCCV 2019)--Ei Compendex, Scopus","Jeju Island, South Korea"
"BDAI--Ei Compendex and Scopus 2019","2019 2nd International Conference on Big Data and Artificial Intelligence (BDAI 2019)--Ei Compendex and Scopus","Guangzhou, China"
"ICIST--EI & SCOPUS 2019","2019 The 2nd International Conference on Intelligent Science and Technology (ICIST 2019)--Ei Compendex, Scopus","Durham University, United Kingdom"
"ICCIA--Ei and Scopus 2019","2019 4th International Conference on Computational Intelligence and Applications (ICCIA 2019)--Ei Compendex and Scopus","Nanchang, China"
"FGCS 2019","Special Issue on Social and Intelligent Applications for Future Cities","N/A"
"ICMLT--Ei and Scopus 2019","2019 4th International Conference on Machine Learning Technologies (ICMLT 2019)--Ei Compendex and Scopus","Jiangxi, China"
"BDE--EI Compendex, Scopus 2019","2019 International Conference on Big Data Engineering (BDE 2019)--EI Compendex, Scopus","Hong Kong"
"DSDE--Ei and Scopus 2019","2019 International Conference on Data Storage and Data Engineering (DSDE 2019)--Ei Compendex and Scopus","Jeju Island, South KoreaJeju Island, Sou"
"MWS 2019","Modeling the World's Systems","Washington DC"
"AIME 2019","17th Conference on Artificial Intelligence in Medicine","Poznan, Poland"
"SDS 2019","Call for Papers / Participation The 6th Swiss Conference on Data Science (IEEE technically co-sponsored)","Bern, Switzerland"
"ICNMC 2019","International Conference on New Music Concepts","Treviso (Italy)"
"DCAI 2019","16th International Conference on Distributed Computing and Artificial Intelligence","¨¢vila (Spain)"
"ICIEI--Ei and SCOPUS 2019","2019 4th International Conference on Information and Education Innovations (ICIEI 2019)--Ei Compendex and SCOPUS","Durham University, United Kingdom"
"DSBFI 2019","ISSAT International Conference on Data Science in Business, Finance and Industry","Da Nang, Vietnam"
"AIED 2019","Artificial Intelligence in Education","Chicago, USA"
"JSAI 2019","The 33rd Annual Conference of the Japanese Society for Artificial Intelligence, 2019","Niigata, Japan"
"20th EANN 2019","20th Engineering Applications of Neural Networks conference","CRETE island Greece"
"15th AIAI  2019","15th Artificial Intelligence Applications and Innovations conference","CRETE island Greece"
"ATFR 2019","International Workshop on Advance Technologies for First Responders on ISCRAM2019","Valencia - Spain"
"HPCCT--Ei Compendex and Scopus 2019","2019 3rd High Performance Computing and Cluster Technologies Conference (HPCCT 2019)--Ei Compendex and Scopus","Guangzhou, China"
"NLPIR--Ei and Scopus 2019","2019 3rd International Conference on Natural Language Processing and Information Retrieval (NLPIR 2019)--Ei Compendex and Scopus","Tokushima University, Japan"
"IEEE FRUCT 2019","24th Conference of Open Innovations Association FRUCT","Moscow, Russia"
"DLMMIA 2019","Deep Learning Methods for Medical Image Analysis in INDIN 2019","Helsinki-Espoo, Finland"
"ICIMH--Scopus, Ei Compendex 2019","2019 International Conference on Intelligent Medicine and Health (ICIMH 2019)--Scopus, Ei Compendex","Ningbo, China"
"IWPR--Ei Compendex and Scopus 2019","2019 the 4th International Workshop on Pattern Recognition (IWPR 2019)--Ei Compendex and Scopus","Nanjing, China"
"EI/Scopus-ICAIR 2019","2019 4th International Conference on Artificial Intelligence and Robotics(ICAIR 2019)","Shenzhen , China"
"ICDL-EpiRob 2019","2019 Joint IEEE Int. Conf. on Development and Learning and on Epigenetic Robotics","Oslo"
"HPML 2019","2nd High Performance Machine Learning Workshop","Cyprus"
"IJCAI 2019","International Joint Conference on Artificial Intelligence","Macau, China"
"AFFECTPH 2019","Workshop on Affective Computing in Pervasive Health","Trento, Italy"
"EI-ISoCC 2019","2019 2nd International Symposium on Computers and Communications(ISoCC 2019)","Vancouver, Canada"
"SIUSAI 2019-Ei Compendex 2019","2019 3rd International Symposium on Intelligent Unmanned Systems and Artificial Intelligence(SIUSAI 2019)","Vancouver, Canada"
"MDPI Information 2019","MDPI OA Journal of Information Science, Technology and Engineering --SI on Machine Learning for Cyber-Security ","N/A"
"ICINCO 2019","16th International Conference on Informatics in Control, Automation and Robotics","Prague, Czech Republic"
"LNLM journal - sp issue 2019","Learning & NonLinear Models journal - special issue on Evolutionary Computation","N/A"
"CREA  2019","Anticipation and Anticipatory Systems: Humans Meet Artificial Intelligence","Sweden"
"IVA 2019","Intelligent Virtual Agents","Paris, France"
"ICAETT 2019","International Conference on Advances in Emerging Trends and Technologies","Guayaquil, Ecuador"
"ICRSA--MATEC, Ei, Scopus 2019","MATEC--2019 2nd International Conference on Robot Systems and Applications (ICRSA 2019)--Ei Compendex, Scopus","RUDN University, Moscow, Russia"
"MATEC--ICIPCE--Ei, Scopus 2019","MATEC--2019 3rd International Conference on Information Processing and Control Engineering (ICIPCE 2019)--Ei Compendex, Scopus","RUDN University, Moscow, Russia"
"ETRIJ Cyber Security & AI 2019","ETRI Journal Special issue on Cyber Security and AI","N/A"
"ICDMML 2019","¡¾ACM ICPS EI SCOPUS¡¿2019 International Conference on Data Mining and Machine Learning","Hong Kong"
"IULP 2019","3rd International Workshop on User-Oriented Logic Paradigms","Philadelphia, PA (USA)"
"IMMS--Ei Compendex and Scopus 2019","2019 2nd International Conference on Information Management and Management Sciences (IMMS 2019)--Ei Compendex, Scopus","Chengdu, China"
"CAIP 2019","Computer Analysis of Images and Patterns","Salerno, Italy"
"AI-ML-BCI-BMI 2019","Special Issue on Advances in Artificial Intelligence and Machine Learning for BCI/BMI - Bioengineering journal","N/A"
"Scopus-AIAAT  2019","2019 3rd International Conference on Artificial Intelligence Applications and Technologies (AIAAT 2019)","Beijing, China"
"EI-ICACR 2019","2019 3rd International Conference on Automation, Control and Robotics (ICACR 2019)","Beijing, China"
"ICIIP--Ei Compendex and Scopus 2019","2019 8th International Conference on Intelligent Information Processing (ICIIP 2019)--Ei Compendex and Scopus","Oxford, United Kingdom"
"EI-AIAAT 2019","2019 3rd International Conference on Artificial Intelligence Applications and Technologies (AIAAT 2019)","Beijing, China"
"IEEE--ICITE--Ei and Scopus 2019","IEEE--2019 4th International Conference on Intelligent Transportation Engineering (ICITE 2019)--Ei Compendex and Scopus","Singapore"
"ISAIR 2019","The 4th International Symposium on Artificial Intelligence and Robotics 2019","Daegu, Korea"
"ICMRA--EI and Scopus 2019","2019 The 2nd International Conference on Mechatronics, Robotics and Automation (ICMRA 2019)--EI Compendex and Scopus","Tianjin, China"
"ICBBS--Ei and Scopus 2019","2019 8th International Conference on Bioinformatics and Biomedical Science (ICBBS 2019)--Ei Compendex and Scopus","Beijing, China"
"ICCPR--Ei and Scopus 2019","2019 8th International Conference on Computing and Pattern Recognition (ICCPR 2019)--Ei Compendex and Scopus","Beijing, China"
" MedPRAI 2019","The 3rd Mediterranean Conference on Pattern Recognition and Artificial Intelligence","Istanbul, Turkey"
"Special Issue MDPI Applied Sciences 2019","Special Issue on Intelligent Health Services Based on Biomedical Smart Sensors","N/A"
"SSCI 2019","The 2019 IEEE Symposium Series on Computational Intelligence","Xiamen, China"
"EBIMCS 2019","2019 2nd International Conference on E-Business, Information Management and Computer Science","Zhengzhou"
"KLP@SAC 2019","Knowledge and Language Processing Track @ The 34th ACM Symposium on Applied Computing - ACM SAC 2019","Limassol, Cyprus"
"Biometrics 2019","Special Issue on Recent Advances in Biometrics and its Applications","N/A"
"StoryCase 2012","ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)","Lyon, France"
"CSEIT 2018","5th International Conference on Computer Science, Engineering and Information Technology","Dubai,UAE"
"SPM  2018","5th International Conference on Signal, Image Processing and Multimedia ","Dubai, UAE"
"Task Intelligence - WSDM 2019","Task Intelligence Workshop at WSDM 2019","Melbourne, Australia"
"ICoIAS--IEEE, Ei Compendex and Scopus 2019","2019 2nd International Conference on Intelligent Autonomous Systems (ICoIAS 2019)--IEEE Xplore, Ei Compendex and Scopus","Singapore"
"IMCS 2018","Information Management and Computer Science","N/A"
"Advances in HPC for AI 2019","Elsevier JPDC - Special Issue on Advances on Parallel and High Performance Computing for AI Applications","N/A"
"ISBDAI 2018","2018 International Symposium on Big Data and Artificial Intelligence","Hong Kong"
"ACAI-EI/Scopus 2018","2018 International Conference on Algorithms, Computing and Artificial Intelligence (ACAI 2018)","Sanya, China"
"ISCSAI 2018","2018 International Symposium on Computer Science and Artificial Intelligence","Hong Kong"
"MLNLP-EI/Scopus 2018","2018 International Conference on Machine Learning and Natural Language Processing (MLNLP 2018)","Sanya, China"
"CPAIOR 2019","Sixteenth International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research","Thessaloniki, Greece"
"SemEx 2019","1st Workshop on Semantic Explainability","Newport Beach, California"
"PerPersuasion 2019","1st International Workshop on  Pervasive Persuasive Systems for Behavior Change (co-located with IEEE PerCom 2019)","Kyoto, Japan"
"ICETI 2018","2018 3rd International Conference on Engineering and Technology Innovations","Hong Kong"
"ICICC--Ei, Scopus 2019","2019 The 2nd International Conference on Intelligent Control and Computing (ICICC 2019)--Ei Compendex & Scopus","Guangzhou, China"
"IMCS 2018","2018 International Conference on Information Management and Computer Science","Hong Kong"
"ACM--ICCMS--Ei, Scopus 2019","ACM--2019 The 11th International Conference on Computer Modeling and Simulation (ICCMS 2019)--Ei Compendex, Scopus","Melbourne, Australia"
"NECO 2018"," Call for Participation - 7th International Conference of Networks and Communications (NECO 2018)","Sydney , Australia"
"ICCSEA 2018","Call for Participation - 8th International Conference On Computer Science, Engineering And Applications","Sydney, Australia"
"SCAI 2018","7th International Conference On Soft Computing, Artificial Intelligence And Applications ","Sydney , Australia"
"NECO 2018","7th International Conference of Networks and Communications ","Sydney, Australia"
"SCAI 2018","Call for Participation - 7th International Conference On Soft Computing, Artificial Intelligence And Applications ","Sydney, Australia"
"WIA 2019","Women in Analytics Conference","Columbus, OH"
"ICICA--Ei, Scopus 2019","2019 The 8th International Conference on Intelligent Computing and Applications (ICICA 2019)--Ei Compendex, Scopus","Melbourne, Australia"
"JCRAI 2018","2018 International Joint Conference on Robotics and Artificial Intelligence(JCRAI 2018)","Wellington, New Zealand"
"AIHealth@FLAIRS 2019","AI in Healthcare Informatics Special Track at FLAIRS","Sarasota, FL"
"SLIE 2019","Special Track Semantics, Logics, Information extraction and AI","Sarasota, Florida"
"AI4BIGDATA 2019","AI4BigData'19 - Artificial Intelligence for Big Social Data Analysis - Specia Track @ FLAIRS-32","Sarasota, Florida, USA"
"CBR@FLAIRS 2019","CBR@FLAIRS 2019 : FLAIRS-32 Special Track on Case-Based Reasoning","Sarasota, FL"
"AAAI-MAKE 2019","AAAI 2019 Spring Symposium on Combining Machine Learning with Knowledge Engineering","Stanford University, Palo Alto, CA, USA"
"PHY 2018","3rd International Conference on Recent advances in Physics ","Dubai, UAE"
"ICBRA--Ei and Scopus 2018","2018 5th International Conference on Bioinformatics Research and Applications (ICBRA 2018)--Ei Compendex and Scopus","Hong Kong"
"IoT and Big Data 2019","IEEE IoTJ Special Issue on Nature-Inspired Approaches for IoT and Big Data","N/A"
"ACM--ICCCB--Ei and Scopus 2018","ACM--2018 2nd International Conference on Computational Chemistry and Biology (ICCCB 2018)--Ei Compendex and Scopus","Hong Kong"
"RCAE--ACM, Ei, Scopus 2018","ACM--2018 International Conference on Robotics, Control and Automation Engineering (RCAE 2018)--Ei Compendex, Scopus","Beijing, China"
"IntelliSys 2019","Intelligent Systems Conference (IntelliSys) 2019","London, United Kingdom"
"Scopus-EI-WADCE  2018"," 2018 3rd International Workshop on Aircraft Design and Control Engineering (WADCE 2018)","Bangkok,Thailand"
"ASPAI 2019","First International Conference on Advances in Signal Processing and Artificial Intelligence (ASPAI' 2019)","Barcelona"
"AI-DMR 2019","Special issue of IEEE Intelligent Systems: AI for Disaster Management and Resilience","N/A"
"ARDUOUS 2019","3rd International Workshop on Annotation of useR Data for UbiquitOUs Systems","Kyoto, Japan"
"APIT--ACM, EI, Scopus 2019","ACM--2019 Asia Pacific Information Technology Conference (APIT 2019)--EI Compendex, Scopus","Jeju Island, South Korea"
"ICAIS-CPAFBTD 2019","ICAIS Workshop of Content Protection, Analysis, and Forensics for Big Text Data, EI Compendex","New York"
"TdD#35","Temes de Disseny #35 : Artificial Intelligence and emerging digital technologies as design material","N/A"
"APPIS 2019","Applications of Intelligent Systems","Las Palmas de Gran Canaria, Spain"
"ACM-ICSENT 2018","ACM - 7th International Conference on Software Engineering and New Technologies","Tunisia"
"ICIT--ACM, Ei, Scopus 2018","ACM--2018 The 6th International Conference on Information Technology (ICIT 2018)--Ei Compendex, Scopus","Hong Kong"
"ICACCP 2019","Second International Conference on Advanced Computational and Communication Paradigms  (ICACCP-2019) ","Gangtok, Sikkim, India"
"AISC  2018","6th International Conference on Artificial Intelligence, Soft Computing ","Dubai,UAE"
"AIAA 2018","8th International Conference on Artificial Intelligence, Soft Computing and Applications ","Melbourne, Australia"
"PAL 2019","Privacy-Enhancing Artificial Intelligence and Language Technologies","Palo Alto, California"
"SI-TNNLS-SMLMATA 2018","TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications","N/A"
"EvoApplications 2019","The 22nd International Conference on the Applications of Evolutionary Computation, April 24¨C26 2019, Leipzig, Germany.","Leipzig, Germany"
"IRI AC19","IRI 2019 Annual Conference - Innovation Unleashed: Physical Meets Digital","Pittsburgh, PA"
"SEAHF 2019","International Conference on Smart Innovation, Ergonomics and Applied Human Factors","Madrid, Spain"
"HCIS Springer (IF:1.967, Q2) CFPs  2018","Call for Papers: Thematic Issue on Security, Trust, and Privacy  for Human-centric Internet of Things (indexed by SCIE)","N/A"
"ICOAI 2018","2018 5th International Conference on Artificial Intelligence (ICOAI 2018)","Paris, France"
"AIR 2018","The 3rd International Conference on Artificial Intelligence and Robots (AIR 2018)","Sanya, China"
"AutoML 2018","The Second International Workshop on Automation in Machine Learning and Big Data","Seattle, WA, USA"
"UVS-Oman 2019","1st International Conference on Unmanned Vehicle Systems, Oman (IEEE)","Muscat, Oman"
"IEEE--CRC--Ei Compendex & Scopus 2018","2018 the 3rd International Conference on Cybernetics, Robotics and Control (CRC 2018)--IEEE, Ei Compendex & Scopus","Penang, Malaysia"
"RAPRAI 2018","Special Issue on ¡°Recent Advances in Pattern Recognition and Artificial Intelligence¡± in Neural Computing and Applications","N/A"
"ICCTS--EI, Scopus 2018","2018 7th International Conference on Computer Technology and Science (ICCTS 2018)--EI Compendex, Scopus","Ho Chi Minh, Vietnam"
"FinancialNews&Data-IEEEBigData2018","The 2nd International Workshop on Big Data for Financial News and Data","Seattle, WA, USA"
"OLA 2019","OLA'2019 Int. Workshop on Optimization and Learning","Bangkok Thailand"
"AINY 2019","The AI Conference NY 2019","New York, NY"
"ACM--CSAI--Ei Compendex, Scopus 2018","ACM--2018 2nd International Conference on Computer Science and Artificial Intelligence (CSAI 2018)--Ei Compendex, Scopus","Shenzhen, China"
"AICCC--ACM, EI Compendex, Scopus 2018","ACM--2018 Artificial Intelligence and Cloud Computing Conference (AICCC 2018)--EI Compendex, Scopus","Tokyo, Japan"
"NSL 2018","International Workshop on Networking for Smart Living","Paris"
"IES 2018","IES 2018 : The 22nd Asia Pacific Symposium on Intelligent and Evolutionary Systems (IES 2018)","Sapporo"
"SDM 2019","2019 SIAM International Conference on Data Mining","Hyatt Regency Calgary, Calgary, Alberta,"
"IEEE IRC 2019","Third IEEE International Conference on Robotic Computing","Naples, Italy"
"PAKDD 2019","Pacific-Asia Conference on Knowledge Discovery and Data Mining","Macau, China"
"ICMCE--Ei and Scopus 2018","2018 7th International Conference on Mechatronics and Control Engineering (ICMCE 2018)--Ei Compendex and Scopus","Amsterdam, Netherlands"
"MEN  2018","3rd International Conference on Mechanical Engineering","Dubai,UAE"
"ICSC 2019","IEEE International conference on semantic computing","Newport Beach, California"
"AISTATS 2019","The 22nd International Conference on  Artificial Intelligence and Statistics","Naha, Okinawa, Japan"
"ICAART 2019","11th International Conference on Agents and Artificial Intelligence","Prague, Czech Republic"
"ICPRAM 2019","8th International Conference on Pattern Recognition Applications and Methods","Prague, Czech Republic"
"AT 2018","6th International Conference on Agreement Technologies ","Bergen, Norway"
"ACIIDS 2018","10th Asian Conference on Intelligent Information and Database Systems","Dong Hoi City, Vietnam"
"CIIS--ACM, Scopus & Ei 2018","ACM--2018 International Conference on Computational Intelligence and Intelligent Systems (CIIS 2018)--Scopus & Ei Compendex","Phuket, Thailand"
"ITSMTGPD 2018","Special Issue of IEEE Technology and Society Magazine,¡°Technology for Governance, Politics and Democracy¡±.  ","N/A"
"ICRAE--IEEE, Ei and Scopus 2018","IEEE--2018 3rd International Conference on Robotics and Automation Engineering (ICRAE 2018)--Ei Compendex and Scopus","Guangzhou, China"
